joint_index,mean_abs_err_rad,median_abs_err_rad,var_abs_err_rad,episode_peak_abs_err_rad,mean_abs_err_deg,median_abs_err_deg,var_abs_err_deg,episode_peak_abs_err_deg
0,0.08256757259368896,0.07170277833938599,0.0005636460264213383,0.8920265436172485,4.730772972106934,4.108266353607178,0.032294537872076035,51.109352111816406
1,0.04901065677404404,0.05849987268447876,0.000425772275775671,0.7351511120796204,2.808103561401367,3.3517956733703613,0.02439495362341404,42.121055603027344
2,0.046404462307691574,0.04343073070049286,0.000215150837902911,2.4717226028442383,2.6587796211242676,2.4883973598480225,0.012327234260737896,141.6192626953125
3,0.029556840658187866,0.028352200984954834,0.0005437912186607718,1.235805630683899,1.6934821605682373,1.6244614124298096,0.031156940385699272,70.80644226074219
4,0.02289164811372757,0.023607730865478516,0.00019045772205572575,2.0478622913360596,1.3115947246551514,1.3526232242584229,0.010912423022091389,117.3338623046875
5,0.010790594853460789,0.0064795613288879395,0.0002584747562650591,3.083065986633301,0.6182554960250854,0.37125149369239807,0.014809511601924896,176.6466522216797
6,0.004861617460846901,0.0008041933178901672,0.00019109413551632315,2.0296969413757324,0.2785501480102539,0.046076878905296326,0.010948887094855309,116.29306030273438
7,0.10260046273469925,0.10327768325805664,0.0003443161549512297,0.9812309741973877,5.878572940826416,5.917375087738037,0.019727861508727074,56.22039031982422
8,0.032771605998277664,0.03185972571372986,0.0003720927343238145,0.6498309969902039,1.8776745796203613,1.825427770614624,0.021319342777132988,37.23257064819336
9,0.05166815221309662,0.05269348621368408,0.00027559444424696267,1.6358013153076172,2.96036696434021,3.0191142559051514,0.01579039730131626,93.72450256347656
10,0.018008504062891006,0.016169726848602295,0.0002707076200749725,1.2282706499099731,1.031811237335205,0.9264570474624634,0.01551040355116129,70.37471771240234
11,0.02142787165939808,0.020988553762435913,0.00016237597446888685,1.3108614683151245,1.2277265787124634,1.202555537223816,0.009303457103669643,75.10682678222656
12,0.012870438396930695,0.011974215507507324,0.00010453175491420552,0.6492447257041931,0.7374217510223389,0.6860719919204712,0.005989227909594774,37.19898223876953
13,0.004860850051045418,0.0011168494820594788,0.0001388516102451831,0.8511097431182861,0.27850618958473206,0.0639907568693161,0.007955610752105713,48.764991760253906
