scan_index,episode_id,motion_index,status,num_frames,peak_abs_err_rad,mean_abs_err_rad,peak_abs_err_deg,mean_abs_err_deg,episode_file
34,34,34,ok,6089,1.0095871686935425,0.035590287297964096,57.84508381670226,2.039173253831405,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000034.parquet
35,35,35,ok,6044,1.34415602684021,0.03704475611448288,77.01446734501744,2.1225081784513193,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000035.parquet
36,36,36,ok,5996,2.6209027767181396,0.036424458026885986,150.16666762006776,2.0869677159919813,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000036.parquet
37,37,37,ok,6046,0.9172418713569641,0.03517363220453262,52.55408802143564,2.015300675465153,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000037.parquet
38,38,38,ok,3603,0.5150365829467773,0.03868614882230759,29.50942249768989,2.2165530531332247,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000038.parquet
39,39,39,ok,3863,0.4639204740524292,0.03731252998113632,26.58068519291261,2.1378504908744604,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000039.parquet
40,40,40,ok,4118,0.7737330198287964,0.03648502752184868,44.33163650610207,2.090438092420582,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000040.parquet
41,41,41,ok,5369,1.1675516366958618,0.03650020807981491,66.8957811462645,2.091307874322701,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000041.parquet
42,42,42,ok,4719,0.9511924982070923,0.03544283285737038,54.49931565177151,2.0307247367149226,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000042.parquet
43,43,43,ok,1521,0.7720752954483032,0.04108033329248428,44.23665589550387,2.3537297186501145,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000043.parquet
44,44,44,ok,5421,1.094376802444458,0.036513134837150574,62.70317197708972,2.092048522960824,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000044.parquet
45,45,45,ok,4348,1.548460602760315,0.035640567541122437,88.72025728044956,2.04205409955727,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000045.parquet
46,46,46,ok,5224,1.1456972360610962,0.034788262099027634,65.6436162261044,1.9932205948692057,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000046.parquet
47,47,47,ok,4623,1.0174570083618164,0.03596018627285957,58.29599241513899,2.0603669039391317,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000047.parquet
48,48,48,ok,3921,0.978578507900238,0.03586785867810249,56.068418424893125,2.0550769224269567,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000048.parquet
49,49,49,ok,4069,1.4499554634094238,0.03683500736951828,83.07632853529545,2.1104904606066817,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000049.parquet
50,50,50,ok,4321,0.6991517543792725,0.03665534406900406,40.05844476509948,2.1001965117538264,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000050.parquet
51,51,51,ok,4721,0.8861285448074341,0.03479255363345146,50.77142572353523,1.9934664816793262,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000051.parquet
52,52,52,ok,4723,0.8059630990028381,0.03810213878750801,46.17828401614715,2.183091742945921,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000052.parquet
53,53,53,ok,4023,0.9397174715995789,0.03566214442253113,53.84184505736067,2.043290363797042,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000053.parquet
54,54,54,ok,4126,0.9847209453582764,0.036698609590530396,56.42035416716179,2.102675443535718,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000054.parquet
55,55,55,ok,4726,1.6316099166870117,0.03509122505784035,93.48436203785764,2.01057909375797,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000055.parquet
56,56,56,ok,4314,1.3835058212280273,0.03641410544514656,79.26904448814695,2.086374556751248,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000056.parquet
57,57,57,ok,3933,1.4725183248519897,0.035547852516174316,84.36908526969293,2.0367419199302925,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-000/episode_000057.parquet
58,0,58,ok,5296,1.3806090354919434,0.033459942787885666,79.10307089131564,1.9171135044950463,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000000.parquet
59,1,59,ok,6748,0.8300266861915588,0.03361910209059715,47.55702600200593,1.9262326608106595,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000001.parquet
60,2,60,ok,5398,1.139694333076477,0.03466944023966789,65.29967522025923,1.9864126038139955,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000002.parquet
61,3,61,ok,4098,1.283866286277771,0.03366125375032425,73.560119662851,1.9286477730124936,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000003.parquet
62,4,62,ok,4449,0.44146761298179626,0.03466764837503433,25.294231015571757,1.9863099375330338,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000004.parquet
63,5,63,ok,5199,0.17141777276992798,0.0336548388004303,9.821514913249441,1.9282802234577823,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000005.parquet
64,6,64,ok,4499,1.2006123065948486,0.03474704548716545,68.79001799935165,1.990859056963674,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000006.parquet
65,7,65,ok,5421,0.9664857387542725,0.03450307622551918,55.37555379020328,1.9768806479404195,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000007.parquet
66,8,66,ok,5373,0.7335107922554016,0.033214956521987915,42.02707262353182,1.9030768254204353,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000008.parquet
67,9,67,ok,5274,1.2329089641571045,0.03354652225971222,70.64048017004818,1.9220741428231796,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000009.parquet
68,10,68,ok,5079,1.35752272605896,0.0339251309633255,77.78032279627263,1.94376682362714,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000010.parquet
69,11,69,ok,5428,0.5699387192726135,0.03448455408215523,32.65508319541219,1.9758194072981288,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000011.parquet
70,12,70,ok,6229,0.8433548212051392,0.032621245831251144,48.32067188706462,1.8690597085894214,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000012.parquet
71,13,71,ok,5881,0.613280177116394,0.03377417474985123,35.13836580780499,1.9351176697037882,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000013.parquet
72,14,72,ok,4783,0.6771472096443176,0.034681737422943115,38.797677221679756,1.9871171805155647,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000014.parquet
73,15,73,ok,6634,1.111840844154358,0.033393744379282,63.703787860307415,1.9133206150715734,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000015.parquet
74,16,74,ok,5234,0.5769318342208862,0.033700570464134216,33.05575916759806,1.9309004547781285,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000016.parquet
75,17,75,ok,6484,0.5620680451393127,0.033886779099702835,32.20412678565127,1.9415694237051,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000017.parquet
76,18,76,ok,4986,1.4069933891296387,0.03343800827860832,80.61478299993621,1.9158567496877639,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000018.parquet
77,19,77,ok,5838,1.2506588697433472,0.03414592519402504,71.65747484689557,1.9564174011870614,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000019.parquet
78,20,78,ok,4789,0.3666873872280121,0.034041136503219604,21.00963968884442,1.9504134514632085,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000020.parquet
79,21,79,ok,4791,0.5391876697540283,0.03424931317567825,30.893177842399453,1.9623410961881664,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000021.parquet
80,22,80,ok,5194,1.1125003099441528,0.03432174772024155,63.74157246679593,1.9664912898825955,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000022.parquet
81,23,81,ok,6793,1.3283289670944214,0.03325503692030907,76.10764361948235,1.9053732630854405,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000023.parquet
82,24,82,ok,3694,1.235805630683899,0.03350069746375084,70.80644693669032,1.9194485754175443,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000024.parquet
83,25,83,ok,5494,0.8751698732376099,0.03393576666712761,50.143540093514304,1.944376204567152,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000025.parquet
84,26,84,ok,6296,0.534755289554596,0.03318885341286659,30.639221163774625,1.901581227435614,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000026.parquet
85,27,85,ok,6098,1.0514671802520752,0.0336296372115612,60.24463172496529,1.9268362787785593,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000027.parquet
86,28,86,ok,4596,0.3074514865875244,0.03376870974898338,17.615672586488184,1.9348045482190255,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000028.parquet
87,29,87,ok,5198,0.928915798664093,0.03363517299294472,53.22295478647664,1.9271534556881418,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000029.parquet
88,30,88,ok,4849,0.8920265436172485,0.03425001725554466,51.109356162910785,1.962381436992952,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000030.parquet
89,31,89,ok,6699,0.8742519617080688,0.03411143645644188,50.090947636905206,1.9544413420828122,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000031.parquet
90,32,90,ok,5449,0.7525800466537476,0.03346749022603035,43.11966041901833,1.9175459408468727,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000032.parquet
91,33,91,ok,5401,1.0680272579193115,0.033931806683540344,61.19345428370678,1.9441493142206607,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000033.parquet
92,34,92,ok,1849,0.8619637489318848,0.0338234081864357,49.38688490707112,1.9379385378310034,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000034.parquet
93,35,93,ok,4201,1.3203020095825195,0.03311001509428024,75.64773283171954,1.8970641245167084,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000035.parquet
94,36,94,ok,4754,1.6358013153076172,0.03348430246114731,93.72451148907528,1.918509210963256,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000036.parquet
95,37,95,ok,5756,0.9554398059844971,0.03398551046848297,54.7426684617099,1.9472263144417514,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000037.parquet
96,38,96,ok,4408,0.689048171043396,0.033571355044841766,39.47955208199505,1.9234969566046578,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000038.parquet
97,39,97,ok,4563,1.3337907791137695,0.03463883325457573,76.42058239668482,1.9846589527445948,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000039.parquet
98,40,98,ok,5316,0.3326144218444824,0.034927841275930405,19.057402576872818,2.0012178926136444,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000040.parquet
99,41,99,ok,5218,0.5118609666824341,0.0351085439324379,29.32747308838992,2.011571392178326,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000041.parquet
100,42,100,ok,5369,0.8987831473350525,0.03292253240942955,51.496481039783355,1.8863221579429825,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000042.parquet
101,43,101,ok,6826,1.3925797939300537,0.033907849341630936,79.78894482738997,1.9427766596408997,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000043.parquet
102,44,102,ok,2976,0.8787470459938049,0.0340772345662117,50.34849699503346,1.952481718121253,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000044.parquet
103,45,103,ok,4878,0.6921368837356567,0.03454795107245445,39.65652228339008,1.9794517872761064,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000045.parquet
104,46,104,ok,4823,0.8885017037391663,0.03435150533914566,50.90739771443726,1.96819627585416,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000046.parquet
105,47,105,ok,4823,0.8972266316413879,0.03380730375647545,51.40729925979049,1.937015821962817,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000047.parquet
106,48,106,ok,4624,0.6255650520324707,0.03385380282998085,35.84223729234231,1.9396800226259452,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000048.parquet
107,49,107,ok,5224,0.9748023152351379,0.033911000937223434,55.852058522554636,1.9429572327670819,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000049.parquet
108,50,108,ok,1974,0.8692821860313416,0.03441612422466278,49.80620046550196,1.97189866527113,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000050.parquet
109,51,109,ok,4574,0.7495613098144531,0.03426770120859146,42.946699538666095,1.963394652867641,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000051.parquet
110,52,110,ok,4974,0.9815066456794739,0.034536175429821014,56.23618836147615,1.978777092652156,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000052.parquet
111,53,111,ok,4576,0.9576908946037292,0.03401652351021767,54.87164633890183,1.9490032308430125,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000053.parquet
112,54,112,ok,3926,1.2762231826782227,0.03350330516695976,73.12220208421563,1.9195979858056382,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000054.parquet
113,55,113,ok,3931,0.6819459795951843,0.034410931169986725,39.07262648671862,1.9716011251554113,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000055.parquet
114,56,114,ok,4229,0.8371638059616089,0.034860361367464066,47.96595284270918,1.997351578656594,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000056.parquet
115,57,115,ok,5031,1.0176316499710083,0.034542687237262726,58.30599864227306,1.9791501917355678,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000057.parquet
116,58,116,ok,4383,0.8266937732696533,0.03379961475729942,47.36606415809612,1.9365752747613512,/home/jianing/Desktop/zcy/agibot/data/H3_example/data/chunk-001/episode_000058.parquet
