motion_index,joint_index,joint_name,err_abs_mean,err_abs_p95,corr_err_vel_abs,corr_err_acc_abs,corr_err_current_abs,reg_r2,reg_beta_vel_abs,reg_beta_acc_abs,reg_beta_current_abs
4,0,idx11_head_joint1,0.00028364118770696223,0.0012114083394408213,0.5698341011536732,0.6168809540907658,,0.4259289262839828,0.28565540797254885,0.42658592698833775,
4,1,idx12_head_joint2,0.002526671625673771,0.002773439884185791,-0.2390489909187163,-0.25907044115462796,,0.07309620595087174,-0.11038009573313343,-0.180298281966007,
4,2,idx21_arm_l_joint1,0.09212855994701385,0.12296538352966307,-0.03434343391241049,-0.025082773221210664,-0.3141179210007237,0.1004521034380157,-0.06806505140529118,0.0354862126056303,-0.31518293560325666
4,3,idx22_arm_l_joint2,0.04681012034416199,0.07524408698081969,-0.1695268774677607,-0.08250206166966847,-0.4254357085022097,0.2006332182420011,-0.14412436656229216,0.006440097377082281,-0.4154131451373495
4,4,idx23_arm_l_joint3,0.07544282078742981,0.13138213157653808,-0.04500047441517186,-0.02075271002145025,0.06876235957145932,0.00861903662622876,-0.12802180994377182,0.09388555651783838,0.06989833104683482
4,5,idx24_arm_l_joint4,0.041887953877449036,0.11708502769470212,-0.028581830206731645,-0.025402458799022882,-0.004281128036651146,0.0008453077121349795,-0.02342523040401112,-0.006256303125577438,-0.003935007700744635
4,6,idx25_arm_l_joint5,0.02237050049006939,0.04104039669036863,-0.006201166992375943,-0.018976013412127665,-0.03363912152562077,0.0019353822355865358,0.04214344185619364,-0.055193123710504034,-0.0341678155747062
4,7,idx26_arm_l_joint6,0.012184184975922108,0.027427780628204345,0.21565273972916052,0.07649870350975832,-0.023159260386917676,0.0510475516287654,0.2622768132658739,-0.07834860214765807,-0.02074352801505564
4,8,idx27_arm_l_joint7,0.007495597470551729,0.03649111688137054,0.2695131065757382,0.038331440769517396,-0.04403928651147245,0.22056967082153578,0.920009725952964,-0.7542659590503438,-0.03467568516266836
4,9,idx61_arm_r_joint1,0.10562295466661453,0.1289146900177002,-0.1445343285870233,-0.08282458216744984,0.021802695964009775,0.027338192055733623,-0.2721048677311573,0.14976051141165453,0.018967813727560817
4,10,idx62_arm_r_joint2,0.03897370025515556,0.07184812426567072,-0.04518754603466792,-0.013411255457623209,0.12075320362763506,0.018714929412968484,-0.10727912361562003,0.0718789028288016,0.12282270745888028
4,11,idx63_arm_r_joint3,0.0978376716375351,0.16552016735076902,-0.15290629943401746,-0.054432842679652566,-0.14770024621520136,0.05276594795799816,-0.266626417818967,0.15518811144302685,-0.1384183145104207
4,12,idx64_arm_r_joint4,0.03037714958190918,0.06326828002929678,0.08948766607643374,0.010530623615282952,0.13831568011500414,0.045055808446804346,0.3157799567576911,-0.2625107826961875,0.1414286460804976
4,13,idx65_arm_r_joint5,0.023920217528939247,0.0428075075149536,0.001950139379745824,-0.01077379571294202,-0.058158486948092766,0.0036661396078568886,0.019549778100755595,-0.027069871328790608,-0.05736685610516502
4,14,idx66_arm_r_joint6,0.01333612110465765,0.02395505905151367,-0.11025512772324955,-0.05435302754861223,0.04161912018742024,0.014635626609426411,-0.12181125112201238,0.015145662520216634,0.04874019830088434
4,15,idx67_arm_r_joint7,0.009056410752236843,0.045675564557313905,0.6063172236143434,0.10572969218261624,0.014268580669876811,0.6191892244606008,1.1500662071510874,-0.7396750612122579,0.0062999472256159705
4,16,idx41_gripper_l_outer_joint1,0.12838207185268402,0.7848505735397339,0.08047333985672407,0.011946393810826348,,0.015373413599441554,0.21548739640772072,-0.164700487668073,
4,17,idx81_gripper_r_outer_joint1,0.1374850571155548,0.7768078565597534,0.17336843448655445,0.05353551714776129,,0.03291127427567686,0.20980418056623742,-0.0646701151362884,
