frame_index,left_gripper_diff,right_gripper_diff
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.43466666,0.21733333
160,0.21733333,0.21733333
161,0.21733333,0.21733333
162,0.21733333,0.21733333
163,0.21733333,0.21733333
164,0.21733333,0.21733333
165,0.21733333,0.21733333
166,0.21733333,0.21733333
167,0.21733333,0.21733333
168,0.21733333,0.21733333
169,0.21733333,0.21733333
170,0.21733333,0.21733333
171,0.21733333,0.21733333
172,0.21733333,0.21733333
173,0.21733333,0.21733333
174,0.21733333,0.21733333
175,0.21733333,0.21733333
176,0.21733333,0.21733333
177,0.21733333,0.21733333
178,0.21733333,0.21733333
179,0.21733333,0.21733333
180,0.21733333,0.21733333
181,0.21733333,0.21733333
182,0.21733333,0.21733333
183,0.21733333,0.21733333
184,0.21733333,0.21733333
185,0.21733333,0.21733333
186,0.21733333,0.21733333
187,0.21733333,0.21733333
188,0.21733333,0.21733333
189,0.21733333,0.21733333
190,0.21733333,0.21733333
191,0.21733333,0.21733333
192,0.21733333,0.21733333
193,0.21733333,0.21733333
194,0.21733333,0.21733333
195,0.21733333,0.21733333
196,0.21733333,0.21733333
197,0.21733333,0.21733333
198,0.21733333,0.21733333
199,0.21733333,0.21733333
200,0.21733333,0.21733333
201,0.21733333,0.21733333
202,0.21733333,0.21733333
203,0.21733333,0.21733333
204,0.21733333,0.21733333
205,0.21733333,0.21733333
206,0.21733333,0.10733333
207,0.21733333,-0.4526667
208,0.21733333,-0.15799999
209,0.21733333,0.5313333
210,0.21733333,2.510625
211,0.21733333,4.76625
212,0.21733333,8.50125
213,0.21733333,12.535
214,0.21733333,17.85875
215,0.21733333,23.366875
216,0.21733333,30.80375
217,0.21733333,37.005
218,0.21733333,46.0575
219,0.21733333,54.02
220,0.21733333,65.1575
221,0.21733333,73.3375
222,0.21733333,82.793335
223,0.21733333,95.68667
224,0.21733333,105.003334
225,0.21733333,112.79
226,0.21733333,117.0613
227,0.21733333,118.295
228,0.21733333,118.6475
229,0.21733333,118.6475
230,0.21733333,118.6475
231,0.21733333,118.6475
232,0.21733333,118.6475
233,0.21733333,118.6475
234,0.0,118.6475
235,0.21733333,118.6475
236,0.21733333,118.6475
237,0.0,118.6475
238,0.21733333,118.6475
239,0.21733333,118.6475
240,0.21733333,118.6475
241,0.21733333,118.6475
242,0.0,118.6475
243,0.21733333,118.6475
244,0.0,118.6475
245,0.0,118.6475
246,0.21733333,118.6475
247,0.21733333,118.6475
248,0.0,118.6475
249,0.0,118.6475
250,0.0,118.6475
251,0.21733333,118.6475
252,0.0,118.6475
253,0.21733333,118.6475
254,0.0,118.6475
255,0.21733333,118.6475
256,0.21733333,118.6475
257,0.21733333,118.6475
258,0.21733333,118.6475
259,0.0,118.6475
260,0.0,118.6475
261,0.21733333,118.6475
262,0.0,118.6475
263,0.21733333,118.6475
264,0.0,118.6475
265,0.0,118.6475
266,0.21733333,118.6475
267,0.0,118.6475
268,0.0,118.6475
269,0.0,118.6475
270,0.21733333,118.6475
271,0.0,118.6475
272,0.0,118.6475
273,0.21733333,118.6475
274,0.0,118.6475
275,0.21733333,118.6475
276,0.21733333,118.6475
277,0.0,118.6475
278,0.0,118.6475
279,0.21733333,118.737495
280,0.21733333,119.0775
281,0.21733333,119.174995
282,0.0,118.59
283,0.0,117.18
284,0.21733333,111.31333
285,0.0,98.13
286,0.0,88.333336
287,0.0,75.64625
288,0.21733333,67.27
289,0.0,56.32
290,0.0,45.44875
291,0.0,40.9225
292,0.0,32.655
293,0.21733333,26.99625
294,0.0,21.4875
295,0.0,14.20875
296,0.0,9.055
297,0.0,7.019375
298,0.0,3.76125
299,0.0,1.5213333
300,0.21733333,0.652
301,0.0,0.21733333
302,0.0,0.0
303,0.21733333,0.21733333
304,0.21733333,0.21733333
305,0.21733333,0.21733333
306,0.0,0.0
307,0.21733333,0.21733333
308,0.0,0.21733333
309,0.0,0.21733333
310,0.0,0.0
311,0.21733333,0.21733333
312,0.0,0.21733333
313,0.0,0.0
314,0.0,0.21733333
315,0.21733333,0.21733333
316,0.21733333,0.0
317,0.0,0.21733333
318,0.0,0.0
319,0.0,0.0
320,0.0,0.21733333
321,0.0,0.21733333
322,0.21733333,0.21733333
323,0.21733333,0.21733333
324,0.21733333,0.0
325,0.0,0.21733333
326,0.21733333,0.0
327,0.0,0.21733333
328,0.0,0.21733333
329,0.21733333,0.21733333
330,0.0,0.21733333
331,0.0,0.21733333
332,0.0,0.21733333
333,0.0,0.21733333
334,0.0,0.0
335,0.0,0.21733333
336,0.0,0.21733333
337,0.0,0.21733333
338,0.0,0.0
339,0.21733333,0.21733333
340,0.0,0.0
341,0.0,0.0
342,0.0,0.21733333
343,0.21733333,0.0
344,0.0,0.0
345,0.0,0.21733333
346,0.0,-0.12
347,0.0,-0.42266667
348,0.0,-0.13066667
349,0.0,0.73866665
350,0.21733333,3.0118752
351,0.21733333,5.518125
352,0.21733333,9.39375
353,0.21733333,13.8825
354,0.0,19.61125
355,0.0,26.7475
356,0.0,32.50625
357,0.0,38.46375
358,0.0,48.2025
359,0.0,56.62
360,0.0,64.60125
361,0.0,72.68313
362,0.0,85.19833
363,0.21733333,94.965
364,0.0,104.39
365,0.21733333,115.3325
366,0.0,117.2375
367,0.21733333,117.9425
368,0.21733333,117.9425
369,0.0,117.9425
370,0.21733333,117.9425
371,0.0,117.9425
372,0.0,117.9425
