frame_index,left_gripper_diff,right_gripper_diff
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.21733333,0.21733333
61,0.21733333,0.21733333
62,0.21733333,0.21733333
63,0.21733333,0.21733333
64,0.21733333,0.21733333
65,0.21733333,0.21733333
66,0.21733333,0.21733333
67,0.21733333,0.21733333
68,0.21733333,0.21733333
69,0.21733333,0.21733333
70,0.21733333,0.21733333
71,0.21733333,0.21733333
72,0.21733333,0.21733333
73,0.21733333,0.21733333
74,0.21733333,0.21733333
75,0.21733333,0.21733333
76,0.21733333,0.21733333
77,0.21733333,0.21733333
78,0.21733333,0.21733333
79,0.21733333,0.21733333
80,0.21733333,0.21733333
81,0.21733333,0.21733333
82,0.21733333,0.21733333
83,0.21733333,0.21733333
84,0.21733333,0.21733333
85,0.21733333,0.21733333
86,0.21733333,0.21733333
87,0.21733333,0.21733333
88,0.21733333,0.21733333
89,0.21733333,0.21733333
90,0.21733333,0.21733333
91,0.21733333,0.21733333
92,0.21733333,0.21733333
93,0.21733333,0.21733333
94,0.21733333,0.21733333
95,0.21733333,0.21733333
96,0.21733333,0.21733333
97,0.21733333,0.21733333
98,0.21733333,0.21733333
99,0.21733333,0.21733333
100,0.21733333,0.21733333
101,0.21733333,0.21733333
102,0.21733333,0.21733333
103,0.21733333,0.21733333
104,0.21733333,0.21733333
105,0.21733333,0.21733333
106,0.21733333,0.21733333
107,0.21733333,0.21733333
108,0.21733333,0.21733333
109,0.21733333,0.21733333
110,0.21733333,0.21733333
111,0.21733333,-0.002666667
112,0.21733333,-0.3826667
113,0.21733333,0.15933335
114,0.21733333,1.2233334
115,0.21733333,3.0118752
116,0.21733333,5.518125
117,0.21733333,9.39375
118,0.21733333,13.8825
119,0.21733333,19.173124
120,0.21733333,26.7475
121,0.21733333,32.080624
122,0.21733333,38.46375
123,0.21733333,48.2025
124,0.21733333,55.97
125,0.21733333,64.60125
126,0.21733333,75.30063
127,0.21733333,85.19833
128,0.21733333,94.24333
129,0.21733333,100.72
130,0.21733333,100.72
131,0.21733333,100.72
132,0.21733333,100.72
133,0.21733333,100.72
134,0.21733333,100.72
135,0.0,100.72
136,0.0,100.72
137,0.0,100.72
138,0.21733333,100.72
139,0.21733333,100.72
140,0.21733333,100.72
141,0.21733333,100.72
142,0.0,100.72
143,0.0,100.72
144,0.0,100.72
145,0.0,100.72
146,0.0,100.72
147,0.0,100.72
148,0.0,100.72
149,0.0,100.72
150,0.21733333,100.72
151,0.0,100.72
152,0.0,100.72
153,0.0,100.72
154,0.21733333,100.72
155,0.0,100.72
156,0.0,100.72
157,0.0,100.72
158,0.0,100.72
159,0.0,100.72
160,0.0,100.72
161,0.0,100.72
162,0.0,100.72
163,0.0,100.72
164,0.21733333,100.72
165,0.21733333,100.72
166,0.21733333,100.72
167,0.0,100.72
168,0.21733333,100.72
169,0.0,100.72
170,0.21733333,100.72
171,0.0,100.72
172,0.21733333,100.72
173,0.21733333,100.72
174,0.0,100.72
175,0.0,100.72
176,0.21733333,100.72
177,0.0,100.72
178,0.21733333,100.72
179,0.21733333,100.72
180,0.21733333,100.72
181,0.21733333,100.72
182,0.0,100.72
183,0.0,100.72
184,0.0,100.72
185,0.0,100.72
186,0.0,100.72
187,0.0,100.72
188,0.0,100.72
189,0.0,100.72
190,0.0,100.72
191,0.0,100.72
192,0.0,100.72
193,0.0,100.72
194,0.0,100.72
195,0.21733333,100.72
196,0.0,100.72
197,0.21733333,100.72
198,0.21733333,100.72
199,0.0,100.72
200,0.21733333,100.97
201,0.0,101.18
202,0.21733333,101.72
203,0.21733333,100.442
204,0.0,96.68667
205,0.21733333,92.0
206,0.0,85.39667
207,0.21733333,76.955
208,0.21733333,68.3825
209,0.21733333,57.62
210,0.21733333,49.2025
211,0.21733333,39.95
212,0.0,33.50625
213,0.0,25.869375
214,0.21733333,20.61125
215,0.21733333,14.8825
216,0.0,9.50125
217,0.21733333,6.518125
218,0.21733333,3.26
219,0.0,2.1733334
220,0.0,1.0866667
221,0.21733333,0.21733333
222,0.0,0.0
223,0.0,0.21733333
224,0.0,0.21733333
225,0.21733333,0.0
226,0.0,0.0
227,0.0,0.21733333
228,0.21733333,0.21733333
229,0.0,0.21733333
230,0.0,0.0
231,0.21733333,0.21733333
232,0.0,0.21733333
233,0.21733333,0.21733333
234,0.21733333,0.0
235,0.0,0.0
236,0.21733333,0.21733333
237,0.0,0.21733333
238,0.0,0.21733333
239,0.21733333,0.21733333
240,0.0,0.21733333
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.21733333
245,0.21733333,0.21733333
246,0.0,0.0
247,0.21733333,0.21733333
248,0.21733333,0.21733333
249,0.0,0.0
250,0.21733333,0.0
251,0.21733333,0.21733333
252,0.0,0.21733333
253,0.0,0.0
254,0.0,0.0
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,0.0,0.0
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,0.0,0.0
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,0.0,0.0
284,0.0,0.0
285,0.0,0.0
286,0.0,0.0
287,0.0,0.0
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,0.0,0.0
293,0.0,0.0
294,0.0,0.0
295,0.0,0.0
296,0.0,0.0
297,0.0,0.0
298,0.0,0.0
299,0.0,0.0
300,0.0,0.0
301,0.0,0.0
302,0.0,0.0
303,0.0,0.0
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,0.0,0.0
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,0.0,0.0
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.21733333,0.21733333
367,0.21733333,0.21733333
368,0.21733333,0.21733333
369,0.21733333,0.21733333
370,0.21733333,0.21733333
371,0.21733333,0.21733333
372,0.21733333,0.21733333
373,0.21733333,0.21733333
374,0.21733333,0.21733333
375,0.21733333,0.21733333
376,0.21733333,0.21733333
377,0.21733333,0.21733333
