frame_index,left_gripper_diff,right_gripper_diff
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.21733333,0.43466666
25,0.21733333,0.21733333
26,0.21733333,0.21733333
27,0.21733333,0.21733333
28,0.21733333,0.21733333
29,0.21733333,0.21733333
30,0.21733333,0.21733333
31,0.21733333,0.21733333
32,0.21733333,0.21733333
33,0.21733333,0.21733333
34,0.21733333,0.21733333
35,0.21733333,0.21733333
36,0.21733333,0.21733333
37,0.21733333,0.21733333
38,0.21733333,0.21733333
39,0.21733333,0.21733333
40,0.21733333,0.21733333
41,0.21733333,0.21733333
42,0.21733333,0.21733333
43,0.21733333,0.21733333
44,0.21733333,0.21733333
45,0.21733333,0.21733333
46,0.21733333,0.21733333
47,0.21733333,0.21733333
48,0.21733333,0.21733333
49,0.21733333,0.21733333
50,0.21733333,0.21733333
51,0.21733333,0.21733333
52,0.21733333,0.21733333
53,0.21733333,0.21733333
54,0.21733333,0.21733333
55,0.21733333,0.21733333
56,0.21733333,0.21733333
57,0.21733333,0.21733333
58,0.21733333,0.21733333
59,0.21733333,0.21733333
60,0.21733333,0.21733333
61,0.21733333,0.21733333
62,0.21733333,0.21733333
63,0.21733333,0.21733333
64,0.21733333,0.21733333
65,0.21733333,0.21733333
66,0.21733333,0.21733333
67,0.21733333,0.21733333
68,0.21733333,0.21733333
69,0.21733333,-0.25266665
70,0.21733333,-0.4026667
71,0.21733333,-0.348
72,0.21733333,0.73866665
73,0.21733333,2.26
74,0.21733333,5.518125
75,0.21733333,8.278125
76,0.21733333,13.545625
77,0.21733333,19.173124
78,0.21733333,24.869375
79,0.21733333,30.378124
80,0.21733333,36.0325
81,0.21733333,45.52125
82,0.21733333,53.37
83,0.21733333,64.60125
84,0.21733333,72.68313
85,0.21733333,85.19833
86,0.21733333,94.965
87,0.21733333,104.39
88,0.21733333,114.485
89,0.21733333,117.2375
90,0.21733333,118.295
91,0.21733333,118.8238
92,0.21733333,118.8238
93,0.21733333,118.8238
94,0.21733333,118.8238
95,0.21733333,118.8238
96,0.21733333,118.8238
97,0.0,118.8238
98,0.21733333,118.8238
99,0.21733333,118.8238
100,0.21733333,118.8238
101,0.21733333,118.8238
102,0.21733333,118.8238
103,0.21733333,118.8238
104,0.0,118.8238
105,0.0,118.8238
106,0.21733333,118.8238
107,0.21733333,118.8238
108,0.0,118.8238
109,0.21733333,118.8238
110,0.21733333,118.8238
111,0.21733333,118.8238
112,0.0,118.8238
113,0.21733333,118.8238
114,0.21733333,118.8238
115,0.0,118.8238
116,0.21733333,118.8238
117,0.0,118.8238
118,0.21733333,118.8238
119,0.0,118.8238
120,0.0,118.8238
121,0.21733333,118.8238
122,0.21733333,118.8238
123,0.0,118.8238
124,0.21733333,118.8238
125,0.21733333,118.8238
126,0.0,118.8238
127,0.0,118.8238
128,0.21733333,118.8238
129,0.21733333,118.8238
130,0.21733333,118.8238
131,0.21733333,118.8238
132,0.21733333,118.8238
133,0.21733333,118.8238
134,0.21733333,118.8238
135,0.0,118.8238
136,0.0,118.8238
137,0.21733333,118.8238
138,0.21733333,118.8238
139,0.21733333,118.8238
140,0.0,118.8238
141,0.0,118.8238
142,0.21733333,118.8238
143,0.0,118.8238
144,0.21733333,119.1838
145,0.21733333,119.6475
146,0.21733333,119.4713
147,0.0,118.4138
148,0.21733333,117.18
149,0.0,107.23
150,0.0,98.708
151,0.0,89.0
152,0.0,78.91812
153,0.0,67.82625
154,0.21733333,59.57
155,0.0,48.66625
156,0.0,41.40875
157,0.0,34.783127
158,0.0,27.371876
159,0.21733333,21.925625
160,0.21733333,15.893125
161,0.0,10.170625
162,0.21733333,7.27
163,0.21733333,4.513125
164,0.0,2.608
165,0.21733333,0.8693333
166,0.0,0.21733333
167,0.0,0.21733333
168,0.21733333,0.21733333
169,0.0,0.21733333
170,0.21733333,0.21733333
171,0.0,0.21733333
172,0.0,0.21733333
173,0.0,0.21733333
174,0.21733333,0.21733333
175,0.21733333,0.21733333
176,0.21733333,0.21733333
177,0.0,0.21733333
178,0.21733333,0.21733333
179,0.21733333,0.21733333
180,0.0,0.21733333
181,0.0,0.21733333
182,0.0,0.21733333
183,0.21733333,0.21733333
184,0.0,0.21733333
185,0.21733333,0.21733333
186,0.21733333,0.21733333
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,0.0
248,0.0,0.0
249,0.0,0.0
250,0.0,0.0
251,0.0,0.0
252,0.0,0.0
253,0.0,0.0
254,0.0,0.0
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,0.0,0.0
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,0.0,0.0
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,0.0,0.0
284,0.0,0.0
285,0.0,0.0
286,0.0,0.0
287,0.0,0.0
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,0.0,0.0
293,0.0,0.0
294,0.0,0.0
295,0.0,0.0
296,0.0,0.0
297,0.0,0.0
298,0.0,0.0
299,0.0,0.0
300,0.0,0.0
301,0.0,0.0
302,0.0,0.0
303,0.0,0.0
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,0.0,0.0
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,0.0,0.0
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,0.0,0.0
369,0.0,0.0
370,0.0,0.0
371,0.0,0.0
372,0.0,0.0
373,0.0,0.0
374,0.0,0.0
375,0.0,0.0
376,0.0,0.0
377,0.0,0.0
378,0.0,0.0
