motion_index,time_index,timestamp,end_wrench_00,end_wrench_01,end_wrench_02,end_wrench_03,end_wrench_04,end_wrench_05,end_wrench_06,end_wrench_07,end_wrench_08,end_wrench_09,end_wrench_10,end_wrench_11,end_velocity_00,end_velocity_01,end_velocity_02,end_velocity_03,end_velocity_04,end_velocity_05,end_velocity_06,end_velocity_07,end_velocity_08,end_velocity_09,end_velocity_10,end_velocity_11,joint_position_00,joint_position_01,joint_position_02,joint_position_03,joint_position_04,joint_position_05,joint_position_06,joint_position_07,joint_position_08,joint_position_09,joint_position_10,joint_position_11,joint_position_12,joint_position_13,joint_current_00,joint_current_01,joint_current_02,joint_current_03,joint_current_04,joint_current_05,joint_current_06,joint_current_07,joint_current_08,joint_current_09,joint_current_10,joint_current_11,joint_current_12,joint_current_13
0,10,0.2,-2.690000057220459,-3.615000009536743,0.46000000834465027,0.22100000083446503,-0.013000000268220901,0.00800000037997961,5.989999771118164,-5.695000171661377,3.558000087738037,-0.1940000057220459,-0.10300000011920929,0.10400000214576721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.074309229850769,0.6111164689064026,0.2795839011669159,-1.2838313579559326,0.7304046154022217,1.4953951835632324,-0.18760496377944946,1.0742394924163818,-0.6111513376235962,-0.2795141041278839,1.2839710712432861,-0.7304570078849792,-1.4953254461288452,0.18760496377944946,-1437.0,-622.0,-1755.0,-424.0,-464.0,-193.0,-111.0,708.0,1455.0,1211.0,1233.0,981.0,-75.0,172.0
0,11,0.22,-2.6480000019073486,-3.636000156402588,0.45340001583099365,0.22040000557899475,-0.01360000018030405,0.00800000037997961,6.018199920654297,-5.691400051116943,3.5382001399993896,-0.1940000057220459,-0.10300000011920929,0.10459999740123749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07433021068573,0.6111164689064026,0.27959439158439636,-1.2838627099990845,0.7303836941719055,1.495405673980713,-0.18761542439460754,1.0742394924163818,-0.6111513376235962,-0.2795141041278839,1.2839710712432861,-0.7304570078849792,-1.4953044652938843,0.1875944882631302,-1435.199951171875,-623.7999877929688,-1746.0,-425.20001220703125,-464.0,-190.60000610351562,-111.0,714.0,1453.199951171875,1208.0,1236.5999755859375,984.0,-73.80000305175781,180.39999389648438
0,12,0.24,-2.63539981842041,-3.652600049972534,0.43960002064704895,0.2199999988079071,-0.01380000077188015,0.00860000029206276,6.038800239562988,-5.686800003051758,3.5236001014709473,-0.1940000057220459,-0.10300000011920929,0.10459999740123749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0743441581726074,0.6111164689064026,0.2795978784561157,-1.2838836908340454,0.7303697466850281,1.4954091310501099,-0.18761542439460754,1.0742394924163818,-0.6111547946929932,-0.2795141041278839,1.2839710712432861,-0.7304570078849792,-1.4953010082244873,0.187594473361969,-1434.5999755859375,-624.2000122070312,-1741.0,-423.20001220703125,-463.6000061035156,-186.1999969482422,-111.0,720.0,1451.4000244140625,1206.199951171875,1237.800048828125,987.4000244140625,-73.19999694824219,185.39999389648438
0,13,0.26,-2.6815998554229736,-3.660400152206421,0.4114000201225281,0.2199999988079071,-0.013200000859797001,0.010399999096989632,6.0441999435424805,-5.680200099945068,3.519399881362915,-0.1940000057220459,-0.10300000011920929,0.10339999943971634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0743441581726074,0.6111164689064026,0.27958738803863525,-1.2838836908340454,0.7303697466850281,1.4953986406326294,-0.187594473361969,1.0742394924163818,-0.6111652851104736,-0.2795141041278839,1.2839710712432861,-0.7304570078849792,-1.4953323602676392,0.18761542439460754,-1436.4000244140625,-621.7999877929688,-1744.0,-414.8000183105469,-462.3999938964844,-177.8000030517578,-111.0,726.0,1449.5999755859375,1206.800048828125,1234.199951171875,991.5999755859375,-73.80000305175781,183.60000610351562
0,14,0.28,-2.702199935913086,-3.647400140762329,0.40240001678466797,0.2199999988079071,-0.013399999588727951,0.010600000619888306,6.023200035095215,-5.668399810791016,3.5147998332977295,-0.1940000057220459,-0.10260000079870224,0.10379999876022339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07433021068573,0.61113041639328,0.2795908749103546,-1.2838767766952515,0.7303836941719055,1.4953951835632324,-0.1875944882631302,1.0742324590682983,-0.6111617684364319,-0.27952107787132263,1.2839710712432861,-0.7304570078849792,-1.4953359365463257,0.18761542439460754,-1435.800048828125,-623.0,-1744.199951171875,-424.3999938964844,-463.20001220703125,-175.8000030517578,-111.0,725.5999755859375,1448.199951171875,1209.0,1229.0,996.5999755859375,-76.0,179.0
0,15,0.3,-2.7100000381469727,-3.624000072479248,0.40299999713897705,0.2199999988079071,-0.014000000432133675,0.009999999776482582,5.988999843597412,-5.6539998054504395,3.509999990463257,-0.1940000057220459,-0.10199999809265137,0.10499999672174454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.074309229850769,0.6111513376235962,0.2796013653278351,-1.283866286277771,0.7304046154022217,1.4953951835632324,-0.18760496377944946,1.0742219686508179,-0.6111513376235962,-0.2795315384864807,1.2839710712432861,-0.7304570078849792,-1.4953254461288452,0.18760496377944946,-1434.0,-626.0,-1743.0,-443.0,-465.0,-177.0,-111.0,722.0,1447.0,1212.0,1223.0,1002.0,-79.0,173.0
0,16,0.32,-2.6937999725341797,-3.6468000411987305,0.42339998483657837,0.2199999988079071,-0.014000000432133675,0.009399999864399433,5.977599620819092,-5.667799949645996,3.5237998962402344,-0.1940000057220459,-0.10199999809265137,0.10499999672174454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.074309229850769,0.6111617684364319,0.2795908749103546,-1.2838767766952515,0.730394184589386,1.4953742027282715,-0.1875944882631302,1.0742324590682983,-0.6111513376235962,-0.2795420289039612,1.2839605808258057,-0.7304570078849792,-1.4953254461288452,0.18760496377944946,-1436.4000244140625,-629.0,-1752.5999755859375,-428.6000061035156,-465.0,-175.1999969482422,-109.80000305175781,720.2000122070312,1446.4000244140625,1212.0,1236.199951171875,1002.5999755859375,-75.4000015258789,173.60000610351562
0,17,0.34,-2.684800148010254,-3.662799835205078,0.436599999666214,0.2199999988079071,-0.014000000432133675,0.008799999952316284,5.973599910736084,-5.6774001121521,3.535399913787842,-0.1940000057220459,-0.10199999809265137,0.10480000078678131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0743162631988525,0.6111687421798706,0.2795839011669159,-1.2838871479034424,0.7303906679153442,1.4953672885894775,-0.18759098649024963,1.0742255449295044,-0.6111547946929932,-0.2795420289039612,1.2839500904083252,-0.730463981628418,-1.4953254461288452,0.18760496377944946,-1437.0,-631.2000122070312,-1758.5999755859375,-421.6000061035156,-465.20001220703125,-174.1999969482422,-110.0,719.4000244140625,1447.199951171875,1215.5999755859375,1243.4000244140625,1000.0,-73.19999694824219,175.59999084472656
0,18,0.36,-2.690199851989746,-3.6651999950408936,0.43540000915527344,0.2199999988079071,-0.014000000432133675,0.008200000040233135,5.984399795532227,-5.678599834442139,3.542600154876709,-0.1940000057220459,-0.10199999809265137,0.10419999808073044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.074337124824524,0.6111687421798706,0.2795839011669159,-1.2838976383209229,0.7304011583328247,1.495388150215149,-0.1876014769077301,1.0741835832595825,-0.6111652851104736,-0.27952107787132263,1.2839395999908447,-0.7304849028587341,-1.4953254461288452,0.18760496377944946,-1434.0,-631.7999877929688,-1757.4000244140625,-429.3999938964844,-465.79998779296875,-174.8000030517578,-113.0,720.5999755859375,1450.800048828125,1226.4000244140625,1238.5999755859375,991.0,-73.80000305175781,180.39999389648438
0,19,0.38,-2.677999973297119,-3.665599822998047,0.4254000186920166,0.2199999988079071,-0.014399999752640724,0.00839999970048666,6.003200054168701,-5.67140007019043,3.5542001724243164,-0.1940000057220459,-0.10199999809265137,0.10440000146627426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0743441581726074,0.6111617684364319,0.2795908749103546,-1.2838941812515259,0.7304185628890991,1.495381236076355,-0.18760496377944946,1.074190616607666,-0.6111687421798706,-0.27952107787132263,1.2839500904083252,-0.7304779291152954,-1.4953254461288452,0.18761193752288818,-1431.4000244140625,-630.4000244140625,-1758.5999755859375,-430.3999938964844,-466.79998779296875,-180.1999969482422,-105.60000610351562,716.2000122070312,1452.0,1226.0,1229.0,992.0,-74.80000305175781,178.40000915527344
