motion_index,time_index,timestamp,joint_index,joint_name,sim_pos,real_pos,err,abs_err,real_vel_abs,real_acc_abs,current_abs
0,10,0.2,0,idx11_head_joint1,0.2026619017124176,0.2229308933019638,-0.020268991589546204,0.020268991589546204,0.0,0.0,
0,10,0.2,1,idx12_head_joint2,22.35177993774414,24.988706588745117,-2.6369266510009766,2.6369266510009766,0.0,0.0,
0,10,0.2,2,idx21_arm_l_joint1,-53.898460388183594,-61.54838180541992,7.649921417236328,7.649921417236328,0.0301361083984375,0.5006790161132812,-1437.0
0,10,0.2,3,idx22_arm_l_joint2,45.872596740722656,35.00739288330078,10.865203857421875,10.865203857421875,0.0,0.0,-622.0
0,10,0.2,4,idx23_arm_l_joint3,20.780147552490234,16.011978149414062,4.768169403076172,4.768169403076172,0.030040740966796875,0.7510185241699219,-1755.0
0,10,0.2,5,idx24_arm_l_joint4,-67.01888275146484,-73.5691146850586,6.55023193359375,6.55023193359375,0.0,0.247955322265625,-424.0
0,10,0.2,6,idx25_arm_l_joint5,37.90033721923828,41.85110092163086,-3.950763702392578,3.950763702392578,0.0301361083984375,0.5102157592773438,-464.0
0,10,0.2,7,idx26_arm_l_joint6,75.94196319580078,85.68183135986328,-9.7398681640625,9.7398681640625,0.0301361083984375,0.247955322265625,-193.0
0,10,0.2,8,idx27_arm_l_joint7,-9.568084716796875,-10.749971389770508,1.1818866729736328,1.1818866729736328,0.0,0.49948692321777344,-111.0
0,10,0.2,9,idx61_arm_r_joint1,53.86952209472656,61.54838180541992,-7.678859710693359,7.678859710693359,0.08983612060546875,1.239776611328125,708.0
0,10,0.2,10,idx62_arm_r_joint2,-45.82637405395508,-35.00639343261719,-10.81998062133789,10.81998062133789,0.0,0.25272369384765625,1455.0
0,10,0.2,11,idx63_arm_r_joint3,-20.734731674194336,-16.011978149414062,-4.722753524780273,4.722753524780273,0.0,0.0,1211.0
0,10,0.2,12,idx64_arm_r_joint4,67.06724548339844,73.57111358642578,-6.503868103027344,6.503868103027344,0.1499176025390625,2.002716064453125,1233.0
0,10,0.2,13,idx65_arm_r_joint5,-37.881256103515625,-41.85210037231445,3.970844268798828,3.970844268798828,0.02994537353515625,0.247955322265625,981.0
0,10,0.2,14,idx66_arm_r_joint6,-75.93006896972656,-85.67982482910156,9.749755859375,9.749755859375,0.0301361083984375,0.5054473876953125,-75.0
0,10,0.2,15,idx67_arm_r_joint7,9.570850372314453,10.748971939086914,-1.178121566772461,1.178121566772461,0.029993057250976562,0.4982948303222656,172.0
0,10,0.2,16,idx41_gripper_l_outer_joint1,0.2947801351547241,7.28666771365738e-09,0.2947801351547241,0.2947801351547241,2.4449994564056396,20.374990463256836,
0,10,0.2,17,idx81_gripper_r_outer_joint1,0.30656588077545166,0.08149998635053635,0.22506588697433472,0.22506588697433472,2.4449994564056396,40.74998092651367,
0,11,0.22,0,idx11_head_joint1,0.20440573990345,0.2229308933019638,-0.018525153398513794,0.018525153398513794,0.0,0.0,
0,11,0.22,1,idx12_head_joint2,22.796411514282227,24.988706588745117,-2.1922950744628906,2.1922950744628906,0.0,0.0,
0,11,0.22,2,idx21_arm_l_joint1,-54.931678771972656,-61.54898452758789,6.617305755615234,6.617305755615234,0.020122528076171875,1.0061264038085938,-1435.199951171875
0,11,0.22,3,idx22_arm_l_joint2,46.44245910644531,35.00739288330078,11.435066223144531,11.435066223144531,0.0,0.0,-623.7999877929688
0,11,0.22,4,idx23_arm_l_joint3,21.04128074645996,16.0125789642334,5.0287017822265625,5.0287017822265625,0.015020370483398438,1.5020370483398438,-1746.0
0,11,0.22,5,idx24_arm_l_joint4,-68.80945587158203,-73.5691146850586,4.7596588134765625,4.7596588134765625,0.0049591064453125,0.5006790161132812,-425.20001220703125
0,11,0.22,6,idx25_arm_l_joint5,38.783287048339844,41.85170364379883,-3.0684165954589844,3.0684165954589844,0.019931793212890625,1.0037422180175781,-464.0
0,11,0.22,7,idx26_arm_l_joint6,77.9547348022461,85.68122863769531,-7.726493835449219,7.726493835449219,0.025177001953125,0.5006790161132812,-190.60000610351562
0,11,0.22,8,idx27_arm_l_joint7,-9.781618118286133,-10.749971389770508,0.968353271484375,0.968353271484375,0.009989738464355469,0.9995698928833008,-111.0
0,11,0.22,9,idx61_arm_r_joint1,54.90251541137695,61.55017852783203,-6.647663116455078,6.647663116455078,0.06504058837890625,2.4938583374023438,714.0
0,11,0.22,10,idx62_arm_r_joint2,-46.386653900146484,-35.00639343261719,-11.380260467529297,11.380260467529297,0.005054473876953125,0.4982948303222656,1453.199951171875
0,11,0.22,11,idx63_arm_r_joint3,-21.001359939575195,-16.011978149414062,-4.989381790161133,4.989381790161133,0.0,0.0,1208.0
0,11,0.22,12,idx64_arm_r_joint4,68.8535385131836,73.568115234375,-4.714576721191406,4.714576721191406,0.10986328125,4.000663757324219,1236.5999755859375
0,11,0.22,13,idx65_arm_r_joint5,-38.766204833984375,-41.85150146484375,3.085296630859375,3.085296630859375,0.02498626708984375,0.4982948303222656,984.0
0,11,0.22,14,idx66_arm_r_joint6,-77.9428939819336,-85.68042755126953,7.7375335693359375,7.7375335693359375,0.02002716064453125,1.0061264038085938,-73.80000305175781
0,11,0.22,15,idx67_arm_r_joint7,9.781392097473145,10.748372077941895,-0.96697998046875,0.96697998046875,0.02002716064453125,1.0001659393310547,180.39999389648438
0,11,0.22,16,idx41_gripper_l_outer_joint1,0.28461530804634094,0.04889999330043793,0.23571531474590302,0.23571531474590302,2.0374996662139893,40.74998474121094,
